date,npm_through,npm_total,github_release_downloads,total_downloads
2026-07-24,2026-07-23,1311,770,2081
2026-07-27,2026-07-26,1816,1040,2856
2026-07-28,2026-07-27,1816,1124,2940
2026-07-29,2026-07-28,1816,1155,2971
2026-07-30,2026-07-29,1816,1201,3017
2026-07-31,2026-07-30,1816,1293,3109
2026-08-01,2026-07-31,1816,1345,3161
2026-08-02,2026-08-01,1849,1393,3242
2026-08-03,2026-08-02,1863,1460,3323
2026-08-04,2026-08-03,1863,1506,3369
2026-08-05,2026-08-04,1863,1531,3394
2026-08-06,2026-08-05,1863,1583,3446
2026-08-07,2026-08-06,1863,1737,3600
2026-08-08,2026-08-07,1863,1850,3713
2026-08-09,2026-08-08,2211,1992,4203
